"sessiontitle","day","time","contenttrack","type","speakers","speakerpics","moderator-facilitator","venue"
"Upskilling &amp; Reskilling for Survival in the Gig Economy",""Day 3 - Sunday, 8 Jan"","11:00","Future of work,Freelancing","Panel Discussion","Ibrahim Amin, Co-Founder &amp; Chairman - Pakistan Freelancers Association (PAFLA), Naveed Ahmed, Trainer at e-Rozgaar Program PITB | Independent Creative Consultant | Top Rated Freelance Designer - e-Rozgaar Program PITB, M Tanveer Nandla, CEO - iSkills","Ibrahim Amin.png (https://dl.airtable.com/.attachments/85f02148e96d992c1945e2064b81a88e/56caba6c/IbrahimAmin.png),Naveed Ahmed.png (https://dl.airtable.com/.attachments/d59504d982e3c47ede79a009f9a7a9e7/e6b5040c/NaveedAhmed.png),M Tanveer Nandla.png (https://dl.airtable.com/.attachments/4e9f294004def5bc37467ed573936615/a0707c91/MTanveerNandla.png)","Huzaifa Ali, CEO - Ecommerce Success Pakistan Pvt Ltd","Orion Auditorium @Convention"
"Keynote: Dr. Arshad Ali",""Day 3 - Sunday, 8 Jan"","11:00","Textile","Keynote","Dr. Arshad Ali, Project Director - National Incubation Center Faisalabad","Dr. Arshad Ali.png (https://dl.airtable.com/.attachments/1515153969e40c613e5fdde6336953bf/743a4239/Dr.ArshadAli.png)","","Orion Auditorium @Convention"
"Circularity and Sustainability in Textiles",""Day 3 - Sunday, 8 Jan"","11:15","Textile","Panel Discussion","Sohail Ali Naqvi, Director - WWF-PAKISTAN , Sheraz Ahmad, Associate Professor/ Chairman - National Textile University, Yasir Nawab, Dean/ Associate Professor - National Textile University, DR AYYAZ UDDIN, CEO - PAKISTAN CIRCULAR FASHION COUNCIL","Sohail Ali Naqvi.png (https://dl.airtable.com/.attachments/3c127c45406ad42a71098c2c1a199c40/ef32fd4c/SohailAliNaqvi.png),Sheraz Ahmad.png (https://dl.airtable.com/.attachments/3b246940a1701792a5c6270599de0103/f60ae7aa/SherazAhmad.png),Yasir Nawab.png (https://dl.airtable.com/.attachments/39b6e3df9c48d14efaf10498f892deae/5f710d89/YasirNawab.png),DR AYYAZ UDDIN.png (https://dl.airtable.com/.attachments/2ea8aa41d2491f552c77248d039d72f2/6a111658/DRAYYAZUDDIN.png)","","Orion Auditorium @Convention"
"Always On: Future of Work and Mental Health ",""Day 3 - Sunday, 8 Jan"","11:30","Future of work,Freelancing","Panel Discussion","Semra Salik, Consultant Clinical Psychologist/ Founder, PsychCare - PsychCare/Air University, Islamabad , Yishel Khan, Chief Executive Officer - DOT Mind Unlocked, Abeeda Haroon, Head of Customer Experience - Polly, Maxine Cunningham, CEO &amp; Founder - Pick My Brain ","Yishel Khan.png (https://dl.airtable.com/.attachments/093824315f502cba46ba2d421868efa8/2d1d7df1/YishelKhan.png),Abeeda Haroon.png (https://dl.airtable.com/.attachments/11763f271dd561b6e13e584b42fa2101/3a9daaa4/AbeedaHaroon.png),Maxine Cunningham.png (https://dl.airtable.com/.attachments/91957c86fa67280a929c2e4fb168cc43/e5019900/MaxineCunningham.png)","Azfar Shahid, Head of Talent Acquisition &amp; OB - iHorizons","Orion Auditorium @Convention"
"Future of Textile",""Day 3 - Sunday, 8 Jan"","11:55","Textile","Panel Discussion","Munir ASHRAF, Associate Professor  - National Textile university, kashif junaid, CEO - Denim by mood ","Abher Rasheed.png (https://dl.airtable.com/.attachments/d88c8af2c045f3743fb73d7c831345b4/5f9309a3/AbherRasheed.png),Munir ASHRAF.png (https://dl.airtable.com/.attachments/cd18f62ecea776b9ffe98a1d157142e3/fd4766c6/MunirASHRAF.png),Dr. Muzzamal Hussain.png (https://dl.airtable.com/.attachments/3d57f5c24d8073a1de765c4154396854/631a62cc/Dr.MuzzamalHussain.png),Umair Azam.png (https://dl.airtable.com/.attachments/329730e6ae7c1b7ff4c4ccc10d49912e/5bd2d7c4/UmairAzam.png),kashif junaid.png (https://dl.airtable.com/.attachments/83c6e650b8d4c753ddda15198f920c57/59f0f7fe/kashifjunaid.png)","","Orion Auditorium @Convention"
"Growing beyond Solopreneur ",""Day 3 - Sunday, 8 Jan"","12:10","Future of work,Freelancing","Panel Discussion","Umair Mansha, CEO &amp; Founder - LazyMetrics Inc, Dua Arshad, Founder &amp; CEO - The International Institute of Entrepreneurship , Madiha Shamim, COO HR Ways - HR Ways, Saad Allahwala , Director - Startup Grind karachi","Umair Mansha.png (https://dl.airtable.com/.attachments/cd81387feae28e0aecf5c38491b26562/697fd385/UmairMansha.png),Dua Arahad.png (https://dl.airtable.com/.attachments/181998bfb8dec21fc01d3050905cb57b/5f955016/DuaArahad.png),Madiha Shamim.png (https://dl.airtable.com/.attachments/87be5d32f2a3f2639bfd68b0183932df/c5f29444/MadihaShamim.png),Saad Allahwala.png (https://dl.airtable.com/.attachments/136464f7316b0fc3d1d03590a5c7ea4d/bb33f8e6/SaadAllahwala.png)","Areen Shahid , Program Lead  - She Loves Tech ","Orion Auditorium @Convention"
"Keynote 2: Dr Yasir ",""Day 3 - Sunday, 8 Jan"","12:35","Textile","Keynote","Yasir Nawab, Dean/ Associate Professor - National Textile University","Yasir Nawab.png (https://dl.airtable.com/.attachments/39b6e3df9c48d14efaf10498f892deae/5f710d89/YasirNawab.png)","","Orion Auditorium @Convention"
"Constant Learning: Staying Relevant in the Future ",""Day 3 - Sunday, 8 Jan"","12:45","Future of work,Freelancing","Panel Discussion","Nilofar A. Gardezi , Associate Director &amp; HRBP; Managing Director ConsultNG  - Corporate Research Investigations; ConsultNG (Pvt) Ltd, Ahmad Mushtaq, Business Development Manager - Sohoby, Tabinda Usman, Project Director  - Enablers","Nilofar A. Gardezi.png (https://dl.airtable.com/.attachments/a41c291609ef1a799beb8439a722df6d/e8fa99a8/NilofarA.Gardezi.png),Ahmad Mushtaq.png (https://dl.airtable.com/.attachments/b68c3e5d003e8a8d39c150b9433540f9/c1209fd9/AhmadMushtaq.png),Tabinda Usman.png (https://dl.airtable.com/.attachments/62a35778ab02be17f86015133d25eaf9/a3ea46da/TabindaUsman.png)","Wajiha Ghazal, CEO &amp; Founder - Affordable.pk Pvt Ltd, Conceptbeans Pvt Ltd, Dropesy Corporation","Orion Auditorium @Convention"
"Panel: Digital Health",""Day 3 - Sunday, 8 Jan"","13:00","Health &amp; Wellness","Panel Discussion","Samad Saleem, CEO - Digi Trends Pvt Ltd., M. Haroon Qassim, Managing Director - PharmEvo (Pvt.) Ltd, Asad Haider Khan, Cofounder &amp; CEO - MEDZnMORE Pvt Ltd","Samad Saleem.png (https://dl.airtable.com/.attachments/5db9da207184a15227f4571288303764/0f88495c/SamadSaleem.png),M. Haroon Qassim.png (https://dl.airtable.com/.attachments/cbd2634233e4d48c69e525e00c0b0815/39c6be7b/M.HaroonQassim.png),Asad Haider Khan.png (https://dl.airtable.com/.attachments/508b54f3804e97491453d6b66510c1c4/9c71796d/AsadHaiderKhan.png)","","Orion Auditorium @Convention"
"Keynote: Pakistan's Population Crisis",""Day 3 - Sunday, 8 Jan"","13:00","Health &amp; Wellness","Keynote","Ayesha Leghari, Country Director  - Population Services international ","Ayesha Leghari.png (https://dl.airtable.com/.attachments/f54362b0595248ab2e3e909325dd0349/36f4d548/AyeshaLeghari.png)","","Orion Auditorium @Convention"
"Future of Work: Post Pandemic and Beyond  ",""Day 3 - Sunday, 8 Jan"","13:20","Future of work,Freelancing","Panel Discussion","Cynia Ejaz, Regional Head North - Daftarkhwan, Hassan Shahid, Co-Founder - Kickstart, Irtaza Haider, Software Engineer - Google, Iffi Wahla, Founder-CEO - Edge, Amir Attique, CEO - PopCorn Studio","Cynia Ejaz.png (https://dl.airtable.com/.attachments/11b7d6b90fc6325e327a98264e078911/6cd5e89d/CyniaEjaz.png),Hassan Shahid.png (https://dl.airtable.com/.attachments/3e567dca2804dd06ce00701547f8db23/c863f525/HassanShahid.png),Irtaza Haider.png (https://dl.airtable.com/.attachments/edee5f6fef111e3fbb6b2ef977ea4e9f/1fcf5231/IrtazaHaider.png),iffi wahla.png (https://dl.airtable.com/.attachments/13809b14e1ae35654648488e0efcca1d/efc1f550/iffiwahla.png),Amir Attique.png (https://dl.airtable.com/.attachments/0d15608c03cb86b68a3d695334a9a845/4a1c960c/AmirAttique.png)","Aaqib Sayed, Founder - Worksquad","Orion Auditorium @Convention"
"The World is your Oyster: Hiring Global Talent ",""Day 3 - Sunday, 8 Jan"","13:55","Future of work,Freelancing","Fireside Chat","Tarek Salam, Head of MENA Expansion - Deel, Talaal Burny, Product Partnerships Manager - Deel","Tarek Salam.png (https://dl.airtable.com/.attachments/c4bc80817b37a5d6c3a619c9db7dbbf4/31b9cc84/TarekSalam.png),Talaal Burny.png (https://dl.airtable.com/.attachments/312ab3ec5d242f9ab4f10008085e0ec6/3d79d67a/TalaalBurny.png)","","Orion Auditorium @Convention"
"Digital Health: Are we Ready for the future ",""Day 3 - Sunday, 8 Jan"","14:00","Health &amp; Wellness","Panel Discussion","Bilal Mumtaz, Founder - FreshStart, Kamran Iqbal, Co-Founder &amp; CEO - PayCare, Dr. Saira Siddique, CEO and Founder - medIQ Smart Healthcare, Hamza Iqbal, Founder &amp; CEO - Healthwire","Bilal Mumtaz.png (https://dl.airtable.com/.attachments/6cdb11256e597fb7240dda28e20d0e1f/6523308e/BilalMumtaz.png),Dr. Saira Siddique.png (https://dl.airtable.com/.attachments/3e3823934d0017833aa7e70ad780b195/457ffd46/Dr.SairaSiddique.png),Hamza Iqbal.png (https://dl.airtable.com/.attachments/6940b2497dda4cd4782b3df0ab537de0/569732ba/HamzaIqbal.png)","","Orion Auditorium @Convention"
"Keynote: Aftab ur Rehman Rana",""Day 3 - Sunday, 8 Jan"","14:45","Tourism","Keynote","Aftab ur Rehman Rana, Managing Director  - Pakistan Tourism Development Corporation (PTDC)","Aftab ur Rehman Rana.png (https://dl.airtable.com/.attachments/d45463c7b93207defe10555fa72b9aa1/537c2537/AftaburRehmanRana.png)","","Orion Auditorium @Convention"
"The Future of Tourism in Pakistan: Exploring New Avenues",""Day 3 - Sunday, 8 Jan"","15:00","Tourism","Panel Discussion","Tariq Tanveer , CEO &amp; Founder  - Agri Tourism Development Corporation of Pakistan, Mohammad Salman Arain, CEO - Umrah Companions , Hajira Saquib, Owner - The Red Door Cafe, Syed Haseeb Amjad Gardezi , Chief Operating Officer - Hashoo Hotels","Tariq Tanveer.png (https://dl.airtable.com/.attachments/2cc299db17dc61ad03309f15a669671e/86deb52b/TariqTanveer.png),Hajira Saquib.png (https://dl.airtable.com/.attachments/88c50cad9970a475214700cc099916f5/b4417d2a/HajiraSaquib.png)","","Orion Auditorium @Convention"
"Equitable Design ",""Day 3 - Sunday, 8 Jan"","15:40",""Art, Design &amp; Literature"","Panel Discussion","Muhammad Junaid, Community Leader @ Toptal &amp; Founder Softintex Studio - Softintex Studio, Muhammad Bilal Javed Ghumman, Product Lead, Consumer Solutions - Kapu Tech, Salman Tariq, CEO - Davaam, Javeria Masood, Head of Innovation AccLab - Pakistan/ Regional Innovation Specialist at Regional Innovation Center - Bangkok - UNDP","Muhammad Junaid.png (https://dl.airtable.com/.attachments/0aacb1a949bda87e9811e279c9fe16bf/dd1018b9/MuhammadJunaid.png),Muhammad Bilal Javed Ghumman.png (https://dl.airtable.com/.attachments/d2afbb4fd2d9c565b7f8c8141db067e2/1acd1da1/MuhammadBilalJavedGhumman.png),Salman Tariq.png (https://dl.airtable.com/.attachments/d3e73c4ae64dd424441c6f7b08d1285c/21c8bfe4/SalmanTariq.png)","","Orion Auditorium @Convention"
"Information Warfare ",""Day 3 - Sunday, 8 Jan"","16:20","Media &amp; Journalism","Fireside Chat","Puruesh Chaudhary, Founding CEO - Foresight Lab, Azaz Syed , Senior Correspondent on - Geo News/The News ","Azaz Syed.png (https://dl.airtable.com/.attachments/7b37a06a7b1081d16fa177347bec9dba/e872692e/AzazSyed.png)","Amir Jahangir, Chief Executive Officer  - Mishal Pakistan ","Orion Auditorium @Convention"
"Is Youth Ready for the Future? Using Media for Advocacy",""Day 3 - Sunday, 8 Jan"","16:50","Media &amp; Journalism","Panel Discussion","Ramma Cheema, Anchor/Founder - PTV/Beti, Sana Maqbool, General Manager Corporate Relations - NUST, Noor Waheed, Senior Research Associate - Digital Rights Foundation, Durlabh Ashok, Global Board Member - Plant-for-the-Planet Initiative","Ramma Cheema.png (https://dl.airtable.com/.attachments/550312fc62cd622f2e82b97e0f928ef0/6fb2f743/RammaCheema.png),Sana Maqbool.png (https://dl.airtable.com/.attachments/fa3b485f98a742cafd2bb39485ef66a1/8cbf6520/SanaMaqbool.png),Noor Waheed.png (https://dl.airtable.com/.attachments/36c5bd8a7bcd963b70384d9bb267ec36/22f5e7c2/NoorWaheed.png),Durlabh Ashok.png (https://dl.airtable.com/.attachments/3e3044ad7d948bac66969eb3107abdb1/3bbb2e72/DurlabhAshok.png)","Eisha Zeb, Partner - OVentures","Orion Auditorium @Convention"
"Roundtable: ",""Day 3 - Sunday, 8 Jan"","11:30 - 13:00","Health &amp; Wellness","Roundtable","","","Sayed Sana Shah, Program Manager - National Incubation Center, Karachi","Roundtable Room"
"Roundtable: Digital Pharma MOOT ",""Day 3 - Sunday, 8 Jan"","15:00 - 16:30","Health &amp; Wellness","Roundtable","M. Haroon Qassim, Managing Director - PharmEvo (Pvt.) Ltd","M. Haroon Qassim.png (https://dl.airtable.com/.attachments/cbd2634233e4d48c69e525e00c0b0815/39c6be7b/M.HaroonQassim.png)","","Roundtable Room"
"Roundtable: The Pakistan Opportunity: Global Investors and Startups",""Day 3 - Sunday, 8 Jan"","16:30 - 18:00","Entreprenuership","Roundtable","Mubariz Siddiqui, Founder - Carbon Law","Mubariz Siddiqui.png (https://dl.airtable.com/.attachments/6982408a3895efb884aee2d7b1df0ebc/e24399e8/MubarizSiddiqui.png)","","Roundtable Room"
