"sessiontitle","day","time","contenttrack","type","speakers","speakerpics","moderator-facilitator","venue"
"Doors Closed",""Day 1 - Friday, 6 Jan"","11:50","","","","","","Orion Auditorium @Convention"
"Role of Crypto &amp; Blockchain in Shaping Startups and Business in Pakistan and the Wider Region",""Day 1 - Friday, 6 Jan"","12:00","web3 / Blockchain","Keynote","","","","Orion Auditorium @Convention"
"Web3, E-Governance &amp; the Future of Digital Democracy in Pakistan",""Day 1 - Friday, 6 Jan"","12:10","web3 / Blockchain","Panel Discussion","Muhammad Salman Khan, Co-founder &amp; CGO - Xord, Noshad Minhas, Country Head Fasset  - Fasset , Khurram Shaikh, CTO - Kistpay, Mohammed Ibrahim Jega, Co-founder  - Domineum Blockchain Solutions Ltd ","Muhammad Salman Khan.png (https://dl.airtable.com/.attachments/f2eac88eee58533774be0c1fd585a6e9/89b1ed3b/MuhammadSalmanKhan.png),Khurram Shaikh.png (https://dl.airtable.com/.attachments/82bfbc5a585213e6afc70fbb237b3607/c3ab1e08/KhurramShaikh.png)","","Orion Auditorium @Convention"
"Unpacking the role of centralized exchanges in the web3 ecosystem",""Day 1 - Friday, 6 Jan"","12:45","web3 / Blockchain","Panel Discussion","Humza Khan, Growth Manager - Binance, Zeeshan Ahmed, Country GM  - Rain Financials , Saba Kalsoom , Director Ecosystem and Partnerships  - Fasset ","Humza Khan.png (https://dl.airtable.com/.attachments/4a7c4f2e6bca500a809a8fa3420b620b/4d20db3f/HumzaKhan.png),Zeeshan Ahmed.png (https://dl.airtable.com/.attachments/2929f0818d2561be7c800207519c7958/1edefc43/ZeeshanAhmed.png),Saba Kalsoom.png (https://dl.airtable.com/.attachments/d4883956b2399e4165d775a6c935f9be/a3ed13fb/SabaKalsoom.png)","","Orion Auditorium @Convention"
"Exploring the boundless possibilities of the Metaverse: a new digital frontier for commerce, creativity, and connection",""Day 1 - Friday, 6 Jan"","13:15","web3 / Blockchain","Panel Discussion","Muhammad Ahsan Imitaz, CEO  - Narsun Studios, Muhammad Furqan Aziz, Founder &amp; CEO - InvoZone, Umair Javed, Founder &amp; CEO - tkxel, Ali Zain, Chief Executive Officer - Ideofuzion","Muhammad Ahsan Imitaz.png (https://dl.airtable.com/.attachments/06728f946a54130d1a2c57e0dce0c322/34eb066b/MuhammadAhsanImitaz.png),Muhammad Furqan Aziz.png (https://dl.airtable.com/.attachments/f7e728a3d680a36c5fdfd40a62fa12e9/a6c1c83d/MuhammadFurqanAziz.png),Umair Javed.png (https://dl.airtable.com/.attachments/1b9e5ef24e9891b0c818ac5b216932bc/72c1b570/UmairJaved.png),Ali Zain.png (https://dl.airtable.com/.attachments/2a39be9257eae21e2c959743083284a2/9da7d81e/AliZain.png)","Nazim Hasham, Business Advisor - Departure Lounge ","Orion Auditorium @Convention"
"Decentralized Finance (DeFi):  challenging the dominance of traditional finance",""Day 1 - Friday, 6 Jan"","13:50","web3 / Blockchain","Panel Discussion","Maryam Wraich, Management Consulting Manager - Accenture, Nida Sumar , Founder  - 60 Day Startups , Mohammed Ali Baig, Founder - Digital Currency Industries, Michael Healy, co-founder - Unit Network","Maryam Wraich.png (https://dl.airtable.com/.attachments/e77dca321eb54bea0d0fbefdee979972/b92aeb84/MaryamWraich.png),Nida Sumar.png (https://dl.airtable.com/.attachments/7481b9b49cb060c18695a9b623f6f9b4/76fcbbb8/NidaSumar.png),Mohammed Ali Baig.png (https://dl.airtable.com/.attachments/0eef300c879f5b235406cdee61e18396/7ce26ed1/MohammedAliBaig.png)","","Orion Auditorium @Convention"
"Keynote: Security in Web3: How Web2 Security Researchers can utilize their skills in Web3",""Day 1 - Friday, 6 Jan"","14:25","web3 / Blockchain","Keynote","Faizan Nehal Siddiqui, Smart Contract Security Auditor - BlockApex &amp; Hackerone","Faizan Nehal Siddiqui.png (https://dl.airtable.com/.attachments/50faf7dec5c9b53e5d1268dba67f2673/d56f4686/FaizanNehalSiddiqui.png)","","Orion Auditorium @Convention"
"Fractionalized ownership: Future of Real Estate?  / Asset rationalization - Where people can invest in portions of property (web3)",""Day 1 - Friday, 6 Jan"","14:35","web3 / Blockchain","Panel Discussion","Jawad Nayyar, Chief Vision Officer  - DAO PropTech, Adeel Javaid Kazmi , Head of Marcom - Nova Group , Mohsin Masud, Founder &amp; CEO - AKRU","Jawad Nayyar.png (https://dl.airtable.com/.attachments/73a3be76772676d01937e1c90ce53cff/5c6aeb09/JawadNayyar.png),Adeel Javaid Kazmi.png (https://dl.airtable.com/.attachments/b1f3ae44c4fade88c85460f0b803b2f8/7671e4ed/AdeelJavaidKazmi.png)","","Orion Auditorium @Convention"
"Keynote by Zain Naqvi",""Day 1 - Friday, 6 Jan"","15:10","web3 / New Media","Keynote","Syed Muhammad Zain Ul Abideen Naqvi, Co-Founder - Alter","Syed Muhammad Zain Ul Abideen Naqvi.png (https://dl.airtable.com/.attachments/18d7e855e35efba6da16e0bfd2897672/f259b14f/SyedMuhammadZainUlAbideenNaqvi.png)","","Orion Auditorium @Convention"
"Future of Music in Web3",""Day 1 - Friday, 6 Jan"","15:20","web3 / New Media","Fireside Chat","","","Syed Muhammad Zain Ul Abideen Naqvi, Co-Founder - Alter","Orion Auditorium @Convention"
